"No.","Pos. [°2θ]","Iobs [cps]"
"334","18.0067","97.9050"
"335","18.0457","100.0566"
"336","18.0847","103.5315"
"337","18.1237","101.5137"
"338","18.1627","101.2630"
"339","18.2017","101.5036"
"340","18.2407","101.1308"
"341","18.2797","100.8009"
"342","18.3187","98.8371"
"343","18.3577","101.2187"
"344","18.3967","99.0889"
"345","18.4357","99.9566"
"346","18.4747","100.5718"
"347","18.5137","99.5057"
"348","18.5527","100.9515"
"349","18.5917","101.9063"
"350","18.6307","100.6664"
"351","18.6697","100.9005"
"352","18.7087","100.8710"
"353","18.7477","100.6571"
"354","18.7867","102.4543"
"355","18.8257","101.7522"
"356","18.8647","100.5690"
"357","18.9037","101.2155"
"358","18.9427","102.8217"
"359","18.9817","102.5473"
"360","19.0207","100.3361"
"361","19.0597","101.7311"
"362","19.0987","101.5647"
"363","19.1377","99.7313"
"364","19.1767","100.1437"
"365","19.2157","100.1622"
"366","19.2547","100.9772"
"367","19.2937","100.8829"
"368","19.3327","99.5743"
"369","19.3717","100.5418"
"370","19.4107","100.2554"
"371","19.4497","99.0695"
"372","19.4887","100.3502"
"373","19.5277","99.3619"
"374","19.5667","100.8446"
"375","19.6057","100.2835"
"376","19.6447","100.3055"
"377","19.6837","103.5225"
"378","19.7227","104.1149"
"379","19.7617","105.6826"
"380","19.8007","110.5826"
"381","19.8397","116.6532"
"382","19.8787","119.3981"
"383","19.9177","123.1914"
"384","19.9567","121.4462"
"385","19.9957","113.5307"
"386","20.0347","108.5707"
"387","20.0737","102.5534"
"388","20.1127","101.9624"
"389","20.1517","101.4978"
"390","20.1907","99.8511"
"391","20.2297","98.7689"
"392","20.2687","100.1336"
"393","20.3077","102.6352"
"394","20.3467","100.8944"
"395","20.3857","101.1624"
"396","20.4247","102.4606"
"397","20.4637","99.7215"
"398","20.5027","103.7600"
"399","20.5417","102.5513"
"400","20.5807","99.7433"
"401","20.6197","102.1718"
"402","20.6587","100.3195"
"403","20.6977","99.2587"
"404","20.7367","98.8481"
"405","20.7757","98.6222"
"406","20.8147","100.6567"
"407","20.8537","98.6994"
"408","20.8927","101.0553"
"409","20.9317","100.2630"
"410","20.9707","101.4099"
"411","21.0097","101.1742"
"412","21.0487","101.4768"
"413","21.0877","96.8491"
"414","21.1267","100.2933"
"415","21.1657","100.1605"
"416","21.2047","101.0453"
"417","21.2437","102.3488"
"418","21.2827","104.7399"
"419","21.3217","101.8039"
"420","21.3607","102.5982"
"421","21.3997","104.7016"
"422","21.4387","106.5924"
"423","21.4777","106.7343"
"424","21.5167","110.6231"
"425","21.5557","116.8862"
"426","21.5947","127.1405"
"427","21.6337","142.4957"
"428","21.6727","156.9222"
"429","21.7117","165.7101"
"430","21.7507","162.0933"
"431","21.7897","146.9389"
"432","21.8287","129.9355"
"433","21.8677","116.9469"
"434","21.9067","108.1405"
"435","21.9457","104.5742"
"436","21.9847","103.6319"
"437","22.0237","104.0699"
"438","22.0627","105.2769"
"439","22.1017","103.8508"
"440","22.1407","105.1117"
"441","22.1797","106.3991"
"442","22.2187","108.6239"
"443","22.2577","109.4520"
"444","22.2967","110.9083"
"445","22.3357","109.4628"
"446","22.3747","105.3101"
"447","22.4137","101.1525"
"448","22.4527","100.0287"
"449","22.4917","102.4931"
"450","22.5307","103.8209"
"451","22.5697","103.5305"
"452","22.6087","103.7608"
"453","22.6477","103.7465"
"454","22.6867","105.6141"
"455","22.7257","107.8112"
"456","22.7647","107.9655"
"457","22.8037","107.8725"
"458","22.8427","109.3682"
"459","22.8817","110.3998"
