angle,5L-0,5L-1,5L-2,5L-3,5L-4,5L-5
9.9727,187.8086,264.5393,224.3434,184.0257,265.1215,215.9528
10.0117,169.1324,209.4881,192.5001,153.1672,201.3158,190.0403
10.0507,157.7065,176.1644,171.4505,137.711,166.356,171.9004
10.0897,150.45,160.6777,159.1849,130.7946,146.1759,159.4716
10.1287,144.7796,152.7761,154.8684,126.5476,135.3134,153.2081
10.1677,142.3614,148.4981,151.3538,124.616,131.9015,148.6081
10.2067,142.2954,144.2167,150.4457,123.15,130.457,143.7651
10.2457,142.2684,140.6741,146.5623,121.7854,126.2786,142.0819
10.2847,139.8908,137.9969,141.7354,123.6843,127.3581,139.5604
10.3237,138.8828,136.9684,141.6476,120.9126,126.1518,139.1833
10.3627,136.2786,137.772,142.2071,117.3526,124.9543,137.0165
10.4017,135.3932,134.8559,140.0817,116.7437,126.0775,133.9885
10.4407,135.0267,132.5341,141.6764,119.9243,124.5912,133.7155
10.4797,134.3755,134.1373,140.131,120.6181,122.4324,134.8742
10.5187,133.1615,134.0243,135.6201,119.0318,121.9464,134.2445
10.5577,133.0298,132.1947,136.3396,118.7468,120.8025,133.9899
10.5967,133.6782,133.7984,136.6099,119.5846,120.9717,133.8229
10.6357,134.1721,131.6572,136.4898,117.9562,119.702,133.2445
10.6747,132.1996,130.4405,133.625,115.9388,119.9076,130.3942
10.7137,130.6644,131.1086,132.2577,117.4119,119.7266,130.4878
10.7527,130.8452,129.8738,131.0718,118.2629,118.3967,131.2304
10.7917,128.9894,130.6684,130.9078,118.3807,118.4654,132.2203
10.8307,127.5966,129.9744,131.2164,118.24,118.3742,132.0438
10.8697,126.6139,127.2109,128.1759,117.3406,118.8877,128.1155
10.9087,125.9068,127.986,129.0996,118.1278,119.3165,126.186
10.9477,126.5147,128.7223,131.3183,117.4164,118.9866,127.5461
10.9867,127.4528,128.381,128.193,115.3544,119.0527,126.3173
11.0257,125.7549,129.7163,126.0512,115.6018,118.5569,123.9126
11.0647,123.9431,128.8562,127.0482,116.2921,116.7792,124.37
11.1037,124.781,126.2188,127.1473,114.4676,116.8742,124.3882
11.1427,124.6518,126.6909,126.0434,113.7084,117.5228,121.884
11.1817,123.4192,127.6585,125.573,116.0975,117.7453,120.0469
11.2207,122.666,126.887,125.7961,115.7835,118.8996,121.929
11.2597,124.6299,126.514,127.5108,113.938,117.7029,122.0628
11.2987,123.6365,124.8568,128.8617,112.6401,116.7132,122.099
11.3377,122.2805,123.2796,124.8118,112.7017,115.5337,123.5948
11.3767,122.6847,122.159,122.8908,113.8599,115.4563,122.8566
11.4157,122.5516,123.0424,120.5325,113.6642,115.5603,122.8366
11.4547,122.1882,124.4301,119.919,111.9277,115.5997,123.1768
11.4937,122.7353,125.1668,120.3433,111.0537,115.0743,121.6981
11.5327,125.214,123.6304,121.44,113.209,113.9167,120.3687
11.5717,124.6473,122.7241,123.9141,114.9227,115.3856,119.7638
11.6107,121.6307,121.695,122.4162,114.2565,114.9411,119.2176
11.6497,119.1551,121.2112,122.6819,115.2913,115.6643,119.171
11.6887,118.1454,120.1568,120.5177,112.6812,116.9724,118.2898
11.7277,119.2334,120.2718,119.8733,112.2035,116.3644,118.537
11.7667,119.3678,121.7636,119.7527,114.3053,114.1861,118.3612
11.8057,118.1599,121.084,119.9896,112.8799,112.5427,118.3788
11.8447,116.4123,120.5892,120.7122,110.8964,114.5835,117.878
11.8837,118.9046,120.0701,118.4355,112.3352,115.1948,116.9317
11.9227,122.6715,123.3682,118.1068,114.3799,112.8918,116.4784
11.9617,116.5576,123.2649,116.9995,113.3056,112.7253,114.7449
12.0007,116.2169,122.6188,116.7645,110.1083,116.5055,115.4029
12.0397,116.0358,121.6966,117.0304,110.1922,115.0819,117.6004
12.0787,116.7777,119.8295,117.0094,110.6233,113.5985,115.1974
12.1177,117.1463,118.9749,116.207,112.2913,111.187,113.5286
12.1567,116.538,122.534,118.2187,113.4382,113.0773,114.6002
12.1957,114.8943,122.5934,116.8348,109.8256,111.7266,115.7102
12.2347,116.4342,120.4792,116.4837,110.7863,110.4713,115.5736
12.2737,117.9605,120.4799,117.776,106.0515,111.546,114.6753
12.3127,114.0229,120.4451,115.722,108.6349,110.5466,112.3111
12.3517,111.9399,121.9788,118.7152,110.8115,111.311,110.8984
12.3907,114.9469,121.6537,113.2355,109.4378,110.7742,113.0484
12.4297,115.5171,116.361,112.7159,110.4737,110.0138,113.5054
12.4687,115.4851,120.2347,113.093,109.9023,109.2402,114.2621
12.5077,115.0199,118.9115,115.832,107.78,111.8794,113.419
12.5467,117.4033,117.293,115.6817,111.1889,110.1573,113.8405
12.5857,114.6037,120.9951,115.0399,106.494,108.602,111.4415
12.6247,115.0162,117.1014,114.3933,107.084,108.6888,110.8304
12.6637,112.3425,114.9805,111.2811,106.4026,109.6289,113.3417
12.7027,111.5426,115.982,113.12,105.5197,109.106,113.0741
12.7417,114.5889,118.395,113.0907,108.6765,108.85,111.11
12.7807,116.485,115.6748,114.3798,105.1319,109.4458,110.0258
12.8197,110.9476,118.7706,111.6037,106.6304,109.9989,112.931
12.8587,112.4266,116.3296,109.9454,109.3102,107.89,111.2342
12.8977,113.8851,114.5218,109.288,106.4137,107.0066,110.9877
12.9367,109.8211,117.2548,111.6988,104.9488,109.2118,111.5593
12.9757,112.1112,116.9906,111.0451,106.3453,109.4867,111.9523
13.0147,111.7284,116.5822,112.0102,105.5586,109.4125,111.2002
13.0537,113.3394,115.854,111.1522,106.5214,109.3303,113.1173
13.0927,111.039,116.4101,113.2705,107.0775,107.6385,112.6964
13.1317,112.4187,118.3666,109.664,104.29,108.0279,109.5011
13.1707,112.7335,116.5759,110.7934,105.0973,109.4255,108.9777
13.2097,112.4461,114.9969,106.5687,103.2756,107.5759,109.3905
13.2487,108.262,115.5437,107.6398,104.8134,108.9768,110.841
13.2877,109.8231,114.8138,108.4981,105.4738,105.829,108.7731
13.3267,110.9359,115.2181,111.6333,103.5981,108.1139,108.7382
13.3657,110.7942,113.3172,109.9869,104.2059,108.2006,111.5676
13.4047,113.0782,114.5514,108.783,105.8728,105.9708,109.2823
13.4437,114.3594,118.7481,109.0153,102.9106,106.7889,113.0479
13.4827,111.7728,116.9155,108.7438,104.0626,106.9469,109.3006
13.5217,109.3669,117.2111,108.6661,104.0725,106.3328,109.9034
13.5607,108.9775,113.8903,109.1604,103.5688,107.7931,109.7656
13.5997,111.9748,114.7081,110.3495,104.3232,107.3603,110.578
13.6387,108.5432,117.9509,110.5924,105.9198,105.2133,110.1427
13.6777,110.4579,117.1707,110.6751,107.3145,105.5848,109.5109
13.7167,111.0798,119.3938,111.0882,108.76,107.6944,110.2384
13.7557,112.1457,116.8371,109.2101,107.3517,106.7706,112.8391
13.7947,113.2242,118.1177,110.2981,110.6954,108.0794,112.2122
13.8337,114.8704,117.0278,111.1143,113.0841,110.5339,111.8166
13.8727,117.2157,115.7973,114.4881,116.8118,112.2851,114.5158
13.9117,117.5178,119.1999,114.6898,121.0143,114.7031,114.0646
13.9507,120.2824,122.4528,115.4258,124.8263,118.432,113.4141
13.9897,119.0971,126.3895,115.6126,121.6276,120.0922,116.0034
14.0287,118.7067,129.4549,115.1781,114.9766,119.8916,114.7538
14.0677,113.858,124.8558,114.8589,107.456,117.8826,115.3582
14.1067,111.1859,119.7454,111.3142,106.2075,112.1182,113.9441
14.1457,109.5728,117.9564,107.4761,106.1635,109.7536,112.7741
14.1847,108.5928,113.2306,107.2608,106.2359,107.0657,107.8142
14.2237,107.5602,112.1548,106.5811,104.0379,104.8426,106.4979
14.2627,108.7749,113.8401,106.7199,104.9911,105.2422,109.2446
14.3017,107.8644,112.6292,106.6694,103.8941,104.312,109.1281
14.3407,106.2499,113.122,106.0175,103.8952,102.6431,107.4018
14.3797,105.993,114.5166,107.0237,101.2437,102.8456,108.5233
14.4187,107.5514,111.9833,106.1619,101.6271,103.2508,107.1253
14.4577,106.8774,112.1819,106.0589,103.2762,103.9098,106.4325
14.4967,109.1877,113.7465,104.9076,103.4805,104.551,106.1804
14.5357,106.9906,112.4019,104.1547,104.609,104.0662,105.676
14.5747,104.4533,111.3776,105.8943,101.1041,103.6443,107.5436
14.6137,104.0547,111.9792,105.8036,101.6064,104.045,106.9395
14.6527,103.6212,110.8571,102.8446,103.0295,103.0365,105.7832
14.6917,103.9671,109.3855,103.0538,101.4255,104.3665,108.2142
14.7307,106.8487,110.1456,105.1622,102.1535,104.4118,107.9794
14.7697,105.7792,112.4101,105.2362,101.6694,103.1636,107.0566
14.8087,104.5097,111.4416,105.1186,101.526,102.1927,107.2717
14.8477,104.8981,109.6687,104.5136,101.4016,101.5452,107.2513
14.8867,104.7116,110.0339,102.9214,100.2267,100.6473,107.5479
14.9257,107.1882,110.7953,103.2109,98.8675,98.0148,105.441
14.9647,106.0861,112.1905,103.6196,98.668,100.2992,104.7707
15.0037,105.852,111.0596,102.5472,99.4337,101.3111,106.1604
15.0427,106.9749,111.3579,102.0075,100.4605,98.4552,105.2361
15.0817,102.9689,111.8736,102.2837,100.5653,98.0922,106.1058
15.1207,102.3449,109.3725,102.7508,99.2869,99.1995,106.7624
15.1597,106.016,109.6013,102.1172,99.915,100.8598,103.6639
15.1987,106.3372,109.605,102.1821,98.4218,100.2871,104.3173
15.2377,104.421,110.4848,102.7079,98.4411,101.1513,105.5948
15.2767,104.7393,110.3567,103.1324,98.0548,99.5629,104.087
15.3157,106.4281,109.4806,102.5831,99.6462,98.0763,103.9536
15.3547,105.058,109.5278,101.8466,99.2666,99.7136,103.373
15.3937,104.632,110.0084,101.6461,97.431,100.0195,104.6265
15.4327,105.7498,109.4335,99.3077,97.8073,98.2709,104.5555
15.4717,104.6199,105.2042,100.3923,97.8379,99.1536,104.9778
15.5107,104.7055,106.4927,102.9563,97.4355,98.3936,104.6796
